Date,mag,lon,lat,depth
10/24/1984,4.3,80.2293,29.6257,35
11/23/1984,4.6,81.5632,29.5407,27
12/5/1984,4.7,81.6989,27.3121,10
12/18/1984,4.7,80.7506,29.41,17
1/30/1985,4.8,85.448,30.9332,31.6
2/15/1985,4.5,81.5133,29.8639,33
5/6/1985,4.8,82.374,28.4947,35
6/17/1985,4.7,82.2945,31.5659,35
6/21/1985,4.5,85.0121,31.9127,35
7/12/1985,4.7,82.1994,31.5015,35
7/12/1985,4.5,82.0849,31.4844,35
9/13/1985,4.6,84.0185,29.5883,35
10/21/1985,4.6,83.9134,28.8884,35
10/30/1985,4.5,82.9369,31.65,35
12/8/1985,5,86.464,30.7972,13.9
12/15/1985,4.5,86.2811,30.7529,26
12/23/1985,4.5,85.7274,27.6244,35
1/6/1986,4.7,85.3088,27.805,31.5
1/10/1986,5.5,86.631,28.778,59.6
1/25/1986,4.7,84.924,31.437,35
2/28/1986,4.6,81.6577,29.1489,33
6/20/1986,6.1,86.7831,31.1279,11.8
6/23/1986,4.8,86.6825,31.0232,35
6/25/1986,4.9,86.7434,31.1215,19.1
6/29/1986,4.7,86.7889,31.141,35
7/6/1986,4.3,86.8328,31.4135,35
7/19/1986,5.2,86.7621,31.0823,11.4
9/9/1986,5.3,85.1119,31.5474,4.8
9/9/1986,4.8,85.0538,31.561,35
9/16/1986,4.5,86.7,31.0703,26
9/16/1986,4.4,86.6229,31.1273,35
1/19/1987,5.3,83.6581,28.2134,29.4
1/19/1987,5,83.5861,28.3063,31
2/24/1987,4.5,81.5817,29.3384,27
4/23/1987,4.8,87.0041,27.9771,18
5/10/1987,4.7,87.1059,28.5659,35
8/9/1987,5.8,83.74,29.4693,65.5
8/21/1987,4.6,80.1346,31.6256,35
1/23/1988,4.5,81.6216,29.5027,27
2/12/1988,4.6,82.9047,30.3583,35
3/13/1988,4.1,81.1518,29.0285,35
4/9/1988,4.5,86.9036,29.6803,35
4/11/1988,4.8,85.8962,27.5348,19
4/20/1988,5.5,86.6691,27.0066,28.2
4/25/1988,4.8,86.602,26.9459,35
5/2/1988,4,83.845,27.1314,35
5/15/1988,4.9,80.4469,29.7072,23
6/12/1988,4.9,82.3853,28.5521,24.9
8/20/1988,6.5,86.6247,26.7162,58.1
8/24/1988,4.7,86.6177,26.6996,10
8/29/1988,4.7,87.6908,26.5172,10
9/2/1988,4.4,86.4409,26.6708,42
9/21/1988,4.5,85.5315,28.6417,47
10/24/1988,4.5,85.0731,31.6118,35
10/29/1988,5.6,85.6119,27.8135,15.4
11/14/1988,4.4,82.1336,30.0741,100
12/2/1988,4.4,81.404,29.4576,27
12/7/1988,4.7,83.2066,31.4579,35
12/15/1988,4.7,81.7832,29.2349,31
12/27/1988,4.5,87.8436,27.9056,71
5/22/1989,5.1,87.8377,27.4313,20
7/14/1989,4.4,84.8224,31.3445,35
10/10/1989,4.8,87.4849,28.2977,35
1/9/1990,5.6,88.1494,28.1354,61.8
1/10/1990,4.7,86.7221,26.6102,42
1/30/1990,4.3,85.5413,28.7159,47
2/9/1990,4.6,80.6443,29.7637,23
2/21/1990,4.8,82.4743,27.6949,35
2/27/1990,4.3,86.7679,31.3163,35
5/13/1990,4.3,88.1709,31.5289,35
5/20/1990,4.7,83.3423,28.426,35
5/20/1990,4.6,83.2164,28.3783,35
5/20/1990,4.6,83.2043,28.3222,35
10/14/1990,4.9,86.2846,30.753,26
10/14/1990,4.5,81.7218,29.2837,27
10/28/1990,4.4,81.5203,30.4322,36
