Date,Magnitude,Longitude,Latitude,Depth
1/5/2021 7:39,3.6,76.7604,32.3663,10.4
1/6/2021 9:28,3.8,76.1899,35.0889,50
1/8/2021 4:35,3.6,79.8257,30.0164,8.9
1/9/2021 5:57,3.8,78.4988,30.8008,10
1/9/2021 14:51,4.4,76.5631,32.4665,13.9
2/3/2021 14:29,4.5,78.2306,34.3617,35
2/19/2021 11:08,3.6,80.0822,29.931,16
3/5/2021 23:41,3.9,78.7319,34.2387,35
3/7/2021 4:26,3.6,79.1545,34.107,10
3/7/2021 9:17,3.6,78.9442,34.1987,35
3/7/2021 17:38,3.8,78.5559,34.1473,35
4/15/2021 21:33,3.6,76.5041,32.499,14
4/15/2021 22:26,4.6,78.7108,32.4275,13
4/16/2021 18:50,3.6,78.9746,32.4625,10
5/23/2021 19:01,4.2,79.2424,30.8986,10
6/1/2021 11:06,3.8,77.7997,34.1009,35
6/28/2021 0:40,4.7,78.2036,34.2964,13.2
6/28/2021 6:05,3.7,77.9963,34.2703,35
6/28/2021 6:48,3.8,80.0511,30.0599,10
6/29/2021 19:24,3.6,78.2446,34.379,10
7/15/2021 14:17,3.7,77.715,31.4302,12.7
7/18/2021 4:38,3.7,78.1656,34.5044,35
7/20/2021 8:14,3.6,78.2228,34.3179,35
7/20/2021 23:27,3.8,78.3222,34.4237,10
7/21/2021 4:01,4.1,78.3587,34.042,35
7/23/2021 19:58,3.6,78.6377,30.718,23.7
8/10/2021 8:12,3.6,78.005,30.5935,32.3
8/24/2021 16:48,4.6,78.7948,32.1263,7.1
9/9/2021 13:20,3.6,76.2702,32.6456,17.8
9/11/2021 0:28,4.6,79.2375,30.4845,9.5
9/13/2021 3:46,4.4,76.4306,33.6226,11.4
10/1/2021 19:59,3.7,78.16,34.1603,10
10/8/2021 17:32,4.1,78.3128,34.4945,10
10/26/2021 0:32,4.5,76.8015,33.1972,9.5
10/30/2021 16:25,3.7,76.9181,33.2683,35
10/30/2021 16:29,4.1,76.788,33.2292,13.8
11/9/2021 10:57,4.6,78.5072,31.8875,10.3
11/23/2021 16:31,4.2,77.2893,31.4658,9
11/24/2021 5:27,3.6,77.9339,31.3598,8
11/28/2021 8:17,3.9,77.4343,31.3771,10
11/29/2021 23:20,3.9,78.7418,34.2684,10
12/4/2021 19:49,3.6,76.4816,32.8768,15
12/4/2021 20:32,3.8,78.9265,30.84,10
2/6/2022 5:57,4,78.1166,31.6096,8
2/11/2022 23:33,3.8,78.8763,30.7198,35
2/23/2022 4:28,4,77.8521,31.5429,8
2/25/2022 7:29,3.7,76.4623,32.4103,14
3/21/2022 21:06,3.7,78.4286,34.4145,10
4/3/2022 4:38,3.7,77.9606,34.4244,35
4/5/2022 20:21,3.8,79.7081,31.3818,35
4/9/2022 11:22,4.3,78.2348,30.9301,17.2
4/18/2022 6:39,3.6,76.4853,33.3347,2
5/13/2022 2:16,4,76.1551,32.6354,20
5/19/2022 0:31,3.6,78.4822,34.4789,35
6/15/2022 21:58,3.7,76.9757,33.5197,24.7
7/8/2022 1:01,3.9,80.0996,30.0008,2.4
7/12/2022 19:39,3.7,76.8074,33.1957,14.7
7/24/2022 7:06,4,78.4855,30.7566,4.8
8/19/2022 7:25,3.7,80.1369,29.9109,14.6
9/19/2022 16:28,4.6,80.1334,34.6039,1.3
9/19/2022 19:37,4,80.141,34.7232,10
10/8/2022 10:17,3.7,80.1329,30.021,20.5
10/18/2022 12:09,4.4,79.0268,32.6577,6.1
10/19/2022 5:22,3.8,76.2894,33.9316,35
11/6/2022 3:03,4.5,78.6016,30.7777,18.1
11/16/2022 16:02,4.3,76.9677,31.9925,7.9
12/31/2022 19:49,3.9,76.534,28.861,15.6
1/8/2023 17:42,3.6,76.3423,33.478,7.7
2/16/2023 23:31,3.7,76.0996,33.074,26.8
4/5/2023 13:24,3.8,79.0153,33.4632,16.5
5/4/2023 4:20,3.6,79.1527,30.4224,30.9
6/30/2023 11:33,3.6,76.6161,32.6862,14.1
7/6/2023 12:39,3.8,76.6819,32.689,11.4
7/7/2023 5:20,3.9,78.3876,31.4666,2.8
8/9/2023 17:44,4.7,78.6508,32.5957,8
9/28/2023 19:40,3.7,77.8185,34.3236,10
10/8/2023 13:37,4.3,79.4226,31.7358,5.6
10/14/2023 21:53,4.1,79.4025,31.7323,12.3
11/7/2023 13:22,3.6,76.8169,33.2648,17.1
11/16/2023 4:04,4,76.1835,33.0424,28
