Date,Magnitude,Longitude,Latitude,Depth
11/26/1984 3:35,4.6,79.1422,30.2858,35
12/15/1984 10:54,4.6,77.7138,31.3137,10
2/18/1985 18:35,4.6,79.8,34.5839,28
3/11/1985 14:36,4.9,77.2274,31.3871,9
3/28/1986 18:05,4.6,78.2962,30.6137,35
4/22/1986 9:29,4.8,76.9484,31.7863,14
4/26/1986 7:35,5.6,76.3073,32.2102,19.1
7/6/1986 19:24,5.9,80.1439,34.4428,6.7
7/6/1986 20:21,4,79.6317,34.7284,35
7/16/1986 22:03,5.7,78.0236,31.0629,15.2
7/19/1986 10:47,4.6,79.7186,34.1567,35
7/27/1986 17:39,4.7,80.1356,34.6775,28
9/11/1986 4:22,4.8,78.4065,32.5884,13
5/20/1987 0:32,4,76.1314,32.8031,10
6/6/1987 3:14,4.7,79.158,30.4245,24
6/6/1987 11:02,5,79.1531,30.3151,24
7/18/1987 16:29,4.8,78.0591,31.0256,10
8/21/1987 0:26,4.6,80.1346,31.6256,35
8/29/1987 17:58,4.5,79.804,34.5593,28
12/26/1987 1:02,4.3,76.8645,32.0069,14
4/12/1988 16:43,4.4,79.7129,34.6868,35
4/30/1988 22:17,3.7,79.7062,32.7562,35
6/9/1988 12:11,4.8,79.1891,30.4505,24
7/14/1988 3:53,4.2,78.151,30.8406,10
7/27/1988 7:07,4.4,78.685,31.6025,32
9/23/1988 4:23,4.7,80.003,32.5921,10
9/26/1988 18:04,4.4,79.9488,32.6835,35
11/4/1988 4:35,4.8,79.2567,34.7341,35
12/26/1988 11:11,4.2,78.001,30.6393,35
2/7/1990 22:00,4.6,76.479,34.3108,35
3/4/1990 11:51,4.6,79.9271,34.5727,28
4/3/1990 1:08,4.1,78.566,31.5564,32
5/15/1990 17:19,4.1,76.5804,29.2111,10
9/21/1990 16:08,5.1,79.9451,29.9078,16
12/13/1990 8:28,4.8,77.2765,31.4377,9
12/18/1990 2:40,4.9,79.1804,30.3069,24
1/20/1991 12:43,5,77.3918,31.64,27.8
2/12/1991 14:02,4.6,79.1866,30.567,17
2/25/1991 10:52,4.6,79.0244,34.6007,35
3/23/1991 20:33,4.6,79.73,34.3503,35
4/22/1991 8:48,4.7,79.8235,30.1435,35
5/18/1991 4:52,4.6,80.1148,31.6173,8.4
5/18/1991 6:59,4.6,80.077,31.539,35
6/23/1991 2:45,4.7,76.6275,32.3997,18
8/20/1991 5:06,4.3,79.7232,30.3137,17
